"","Month","group","values"
"1",2020-05-01,"Total",35.4
"2",2020-05-01,"Men",30.8
"3",2020-05-01,"Women",40.9
"4",2020-05-01,"White",35.3
"5",2020-05-01,"Black.or.African.American",29.3
"6",2020-05-01,"Asian",51.9
"7",2020-05-01,"Hispanic.or.Latino",23
"8",2020-06-01,"Total",31.3
"9",2020-06-01,"Men",27.2
"10",2020-06-01,"Women",36
"11",2020-06-01,"White",30.8
"12",2020-06-01,"Black.or.African.American",25.7
"13",2020-06-01,"Asian",48.5
"14",2020-06-01,"Hispanic.or.Latino",21.1
"15",2020-07-01,"Total",26.4
"16",2020-07-01,"Men",23.9
"17",2020-07-01,"Women",29.3
"18",2020-07-01,"White",25.7
"19",2020-07-01,"Black.or.African.American",22.7
"20",2020-07-01,"Asian",43.8
"21",2020-07-01,"Hispanic.or.Latino",18.6
"22",2020-08-01,"Total",24.3
"23",2020-08-01,"Men",21.9
"24",2020-08-01,"Women",27.1
"25",2020-08-01,"White",23.4
"26",2020-08-01,"Black.or.African.American",20.9
"27",2020-08-01,"Asian",42.7
"28",2020-08-01,"Hispanic.or.Latino",15.9
"29",2020-09-01,"Total",22.7
"30",2020-09-01,"Men",19.9
"31",2020-09-01,"Women",25.8
"32",2020-09-01,"White",21.9
"33",2020-09-01,"Black.or.African.American",19.6
"34",2020-09-01,"Asian",39.5
"35",2020-09-01,"Hispanic.or.Latino",14.3
"36",2020-10-01,"Total",21.2
"37",2020-10-01,"Men",18.8
"38",2020-10-01,"Women",24
"39",2020-10-01,"White",20.7
"40",2020-10-01,"Black.or.African.American",17.8
"41",2020-10-01,"Asian",35.1
"42",2020-10-01,"Hispanic.or.Latino",12.7
"43",2020-11-01,"Total",21.8
"44",2020-11-01,"Men",19.3
"45",2020-11-01,"Women",24.5
"46",2020-11-01,"White",21.5
"47",2020-11-01,"Black.or.African.American",17.9
"48",2020-11-01,"Asian",34.6
"49",2020-11-01,"Hispanic.or.Latino",13.1
"50",2020-12-01,"Total",23.7
"51",2020-12-01,"Men",21.2
"52",2020-12-01,"Women",26.6
"53",2020-12-01,"White",23.2
"54",2020-12-01,"Black.or.African.American",19.3
"55",2020-12-01,"Asian",39.3
"56",2020-12-01,"Hispanic.or.Latino",14.3
"57",2021-01-01,"Total",23.2
"58",2021-01-01,"Men",20.8
"59",2021-01-01,"Women",26
"60",2021-01-01,"White",22.8
"61",2021-01-01,"Black.or.African.American",18.8
"62",2021-01-01,"Asian",36.9
"63",2021-01-01,"Hispanic.or.Latino",13.8
"64",2021-02-01,"Total",22.7
"65",2021-02-01,"Men",20.5
"66",2021-02-01,"Women",25.1
"67",2021-02-01,"White",21.9
"68",2021-02-01,"Black.or.African.American",19.5
"69",2021-02-01,"Asian",37.8
"70",2021-02-01,"Hispanic.or.Latino",13.4
"71",2021-03-01,"Total",21
"72",2021-03-01,"Men",19.1
"73",2021-03-01,"Women",23
"74",2021-03-01,"White",20.2
"75",2021-03-01,"Black.or.African.American",18
"76",2021-03-01,"Asian",36.1
"77",2021-03-01,"Hispanic.or.Latino",12.9
"78",2021-04-01,"Total",18.3
"79",2021-04-01,"Men",16.7
"80",2021-04-01,"Women",20.1
"81",2021-04-01,"White",17.7
"82",2021-04-01,"Black.or.African.American",14.9
"83",2021-04-01,"Asian",33.3
"84",2021-04-01,"Hispanic.or.Latino",10.8
"85",2021-05-01,"Total",16.6
"86",2021-05-01,"Men",15.2
"87",2021-05-01,"Women",18.2
"88",2021-05-01,"White",15.8
"89",2021-05-01,"Black.or.African.American",13.6
"90",2021-05-01,"Asian",32.3
"91",2021-05-01,"Hispanic.or.Latino",9.4
"92",2021-06-01,"Total",14.4
"93",2021-06-01,"Men",13.3
"94",2021-06-01,"Women",15.7
"95",2021-06-01,"White",13.6
"96",2021-06-01,"Black.or.African.American",12.3
"97",2021-06-01,"Asian",29.6
"98",2021-06-01,"Hispanic.or.Latino",8.6
"99",2021-07-01,"Total",13.2
"100",2021-07-01,"Men",12.3
"101",2021-07-01,"Women",14.2
"102",2021-07-01,"White",12.3
"103",2021-07-01,"Black.or.African.American",10.8
"104",2021-07-01,"Asian",30.1
"105",2021-07-01,"Hispanic.or.Latino",8
"106",2021-08-01,"Total",13.4
"107",2021-08-01,"Men",12.4
"108",2021-08-01,"Women",14.6
"109",2021-08-01,"White",12.4
"110",2021-08-01,"Black.or.African.American",11.2
"111",2021-08-01,"Asian",30.4
"112",2021-08-01,"Hispanic.or.Latino",7.9
"113",2021-09-01,"Total",13.2
"114",2021-09-01,"Men",12.3
"115",2021-09-01,"Women",14.2
"116",2021-09-01,"White",12.3
"117",2021-09-01,"Black.or.African.American",10.9
"118",2021-09-01,"Asian",28.2
"119",2021-09-01,"Hispanic.or.Latino",7.9
"120",2021-10-01,"Total",11.6
"121",2021-10-01,"Men",10.7
"122",2021-10-01,"Women",12.7
"123",2021-10-01,"White",10.8
"124",2021-10-01,"Black.or.African.American",9.9
"125",2021-10-01,"Asian",25.1
"126",2021-10-01,"Hispanic.or.Latino",6.2
"127",2021-11-01,"Total",11.3
"128",2021-11-01,"Men",10.5
"129",2021-11-01,"Women",12.1
"130",2021-11-01,"White",10.4
"131",2021-11-01,"Black.or.African.American",9.7
"132",2021-11-01,"Asian",23.7
"133",2021-11-01,"Hispanic.or.Latino",6.2
"134",2021-12-01,"Total",11.1
"135",2021-12-01,"Men",10.5
"136",2021-12-01,"Women",11.9
"137",2021-12-01,"White",10.4
"138",2021-12-01,"Black.or.African.American",9.5
"139",2021-12-01,"Asian",23.5
"140",2021-12-01,"Hispanic.or.Latino",6
"141",2022-01-01,"Total",15.4
"142",2022-01-01,"Men",14.3
"143",2022-01-01,"Women",16.6
"144",2022-01-01,"White",14.9
"145",2022-01-01,"Black.or.African.American",12.3
"146",2022-01-01,"Asian",26.9
"147",2022-01-01,"Hispanic.or.Latino",9.3
"148",2022-02-01,"Total",13
"149",2022-02-01,"Men",12.1
"150",2022-02-01,"Women",14
"151",2022-02-01,"White",12.3
"152",2022-02-01,"Black.or.African.American",11.1
"153",2022-02-01,"Asian",25.4
"154",2022-02-01,"Hispanic.or.Latino",7.7
"155",2022-03-01,"Total",10
"156",2022-03-01,"Men",9.4
"157",2022-03-01,"Women",10.7
"158",2022-03-01,"White",9.4
"159",2022-03-01,"Black.or.African.American",8.4
"160",2022-03-01,"Asian",21.1
"161",2022-03-01,"Hispanic.or.Latino",6.3
"162",2022-04-01,"Total",7.7
"163",2022-04-01,"Men",7.1
"164",2022-04-01,"Women",8.4
"165",2022-04-01,"White",7
"166",2022-04-01,"Black.or.African.American",6.4
"167",2022-04-01,"Asian",18.5
"168",2022-04-01,"Hispanic.or.Latino",3.9
