"","Month","Total","Men","Women","White","Black.or.African.American","Asian","Hispanic.or.Latino"
"1",2020-05-01,35.4,30.8,40.9,35.3,29.3,51.9,23
"2",2020-06-01,31.3,27.2,36,30.8,25.7,48.5,21.1
"3",2020-07-01,26.4,23.9,29.3,25.7,22.7,43.8,18.6
"4",2020-08-01,24.3,21.9,27.1,23.4,20.9,42.7,15.9
"5",2020-09-01,22.7,19.9,25.8,21.9,19.6,39.5,14.3
"6",2020-10-01,21.2,18.8,24,20.7,17.8,35.1,12.7
"7",2020-11-01,21.8,19.3,24.5,21.5,17.9,34.6,13.1
"8",2020-12-01,23.7,21.2,26.6,23.2,19.3,39.3,14.3
"9",2021-01-01,23.2,20.8,26,22.8,18.8,36.9,13.8
"10",2021-02-01,22.7,20.5,25.1,21.9,19.5,37.8,13.4
"11",2021-03-01,21,19.1,23,20.2,18,36.1,12.9
"12",2021-04-01,18.3,16.7,20.1,17.7,14.9,33.3,10.8
"13",2021-05-01,16.6,15.2,18.2,15.8,13.6,32.3,9.4
"14",2021-06-01,14.4,13.3,15.7,13.6,12.3,29.6,8.6
"15",2021-07-01,13.2,12.3,14.2,12.3,10.8,30.1,8
"16",2021-08-01,13.4,12.4,14.6,12.4,11.2,30.4,7.9
"17",2021-09-01,13.2,12.3,14.2,12.3,10.9,28.2,7.9
"18",2021-10-01,11.6,10.7,12.7,10.8,9.9,25.1,6.2
"19",2021-11-01,11.3,10.5,12.1,10.4,9.7,23.7,6.2
"20",2021-12-01,11.1,10.5,11.9,10.4,9.5,23.5,6
"21",2022-01-01,15.4,14.3,16.6,14.9,12.3,26.9,9.3
"22",2022-02-01,13,12.1,14,12.3,11.1,25.4,7.7
"23",2022-03-01,10,9.4,10.7,9.4,8.4,21.1,6.3
"24",2022-04-01,7.7,7.1,8.4,7,6.4,18.5,3.9
